"Year","Rating","Cnt","Aaa","Aa","A","Baa","Ba","B","Caa.C","Default","Aaa_cnt","Aa_cnt","A_cnt","Baa_cnt","Ba_cnt","B_cnt","Caa.C_cnt","Default_cnt"
1998,"Aaa",125,0.8099,0.1901,0,0,0,0,0,0,101.2375,23.7625,0,0,0,0,0,0
1998,"Aa",735,0.0096,0.9006,0.0899,0,0,0,0,0,7.056,661.941,66.0765,0,0,0,0,0
1998,"A",1177,9e-04,0.0286,0.8692,0.0965,0.0047,0,0,0,1.0593,33.6622,1023.0484,113.5805,5.5319,0,0,0
1998,"Baa",961,0,0.0025,0.0332,0.8709,0.0836,0.0086,0,0.0012,0,2.4025,31.9052,836.9349,80.3396,8.2646,0,1.1532
1998,"Ba",711,0,0.0031,0.0062,0.0564,0.8044,0.0814,0.0423,0.0062,0,2.2041,4.4082,40.1004,571.9284,57.8754,30.0753,4.4082
1998,"B",937,0,0,0.0014,0.0043,0.0674,0.8288,0.0541,0.044,0,0,1.3118,4.0291,63.1538,776.5856,50.6917,41.228
1998,"Caa.C",139,0,0,0,0,0.0095,0.0667,0.7714,0.1524,0,0,0,0,1.3205,9.2713,107.2246,21.1836
1999,"Aaa",112,0.972,0.028,0,0,0,0,0,0,108.864,3.136,0,0,0,0,0,0
1999,"Aa",731,0.0209,0.9228,0.0564,0,0,0,0,0,15.2779,674.5668,41.2284,0,0,0,0,0
1999,"A",1218,0,0.0234,0.912,0.0601,0.0011,0.0034,0,0,0,28.5012,1110.816,73.2018,1.3398,4.1412,0,0
1999,"Baa",1102,0.0012,0.0037,0.049,0.8801,0.0539,0.011,0,0.0012,1.3224,4.0774,53.998,969.8702,59.3978,12.122,0,1.3224
1999,"Ba",701,0,0.0015,0.0031,0.0758,0.7988,0.1006,0.0093,0.0108,0,1.0515,2.1731,53.1358,559.9588,70.5206,6.5193,7.5708
1999,"B",1089,0,0,0.0025,0.0037,0.0421,0.8241,0.0694,0.0583,0,0,2.7225,4.0293,45.8469,897.4449,75.5766,63.4887
1999,"Caa.C",299,0,0,0,0,0,0.0558,0.7462,0.198,0,0,0,0,0,16.6842,223.1138,59.202
2000,"Aaa",117,0.9389,0.0306,0.0306,0,0,0,0,0,109.8513,3.5802,3.5802,0,0,0,0,0
2000,"Aa",726,0.0052,0.9256,0.0693,0,0,0,0,0,3.7752,671.9856,50.3118,0,0,0,0,0
2000,"A",1251,0,0.0619,0.8886,0.0442,0.0035,0.0018,0,0,0,77.4369,1111.6386,55.2942,4.3785,2.2518,0,0
2000,"Baa",1183,9e-04,0.0078,0.0886,0.8608,0.0224,0.0126,0.0029,0.0039,1.0647,9.2274,104.8138,1018.3264,26.4992,14.9058,3.4307,4.6137
2000,"Ba",663,0,0,0.009,0.0865,0.8181,0.0703,0.0054,0.0109,0,0,5.967,57.3495,542.4003,46.6089,3.5802,7.2267
2000,"B",1167,0,0.0021,0.0073,0,0.026,0.8477,0.0643,0.0529,0,2.4507,8.5191,0,30.342,989.2659,75.0381,61.7343
2000,"Caa.C",313,0,0,0,0,0.0079,0.0905,0.7126,0.189,0,0,0,0,2.4727,28.3265,223.0438,59.157
2001,"Aaa",117,0.9899,0.0101,0,0,0,0,0,0,115.8183,1.1817,0,0,0,0,0,0
2001,"Aa",754,0.0031,0.9414,0.0524,0.0016,0,0.0016,0,0,2.3374,709.8156,39.5096,1.2064,0,1.2064,0,0
2001,"A",1298,0.0026,0.0238,0.8971,0.068,0.0034,0.0017,0.0017,0.0017,3.3748,30.8924,1164.4358,88.264,4.4132,2.2066,2.2066,2.2066
2001,"Baa",1156,0.002,0.003,0.0372,0.9015,0.0432,0.008,0.002,0.003,2.312,3.468,43.0032,1042.134,49.9392,9.248,2.312,3.468
